"SetCode","OrganizationCode","ReferenceGroupName","Name","CreatedBy","CreationDate","DeterminantType","LastUpdateDate","LastUpdateLogin","LastUpdatedBy","SysEffectiveDate","ClassificationCode","EffectiveStartDate","EffectiveEndDate"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","OKC_CONTRACT_TYPES","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.867","BU","2024/01/29 17:08:55.757","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","MOO_CRED_ALLOC_TEMPLATES","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.87","BU","2024/01/29 17:08:55.758","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","HZ_CUSTOMER_ACCOUNT_RELATION","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.873","BU","2024/01/29 17:08:55.759","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","HZ_CUSTOMER_ACCOUNT_SITE","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.876","BU","2024/01/29 17:08:55.761","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","HRR_DASHBOARD_TEMPLATES","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.879","BU","2024/01/29 17:08:55.764","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","MKL_DEAL_TYPE_SETID","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.881","BU","2024/01/29 17:08:55.765","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","MOO_SETID_DECISION_LEVEL","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.884","BU","2024/01/29 17:08:55.767","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","PER_DEPARTMENTS","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.886","BU","2024/01/29 17:08:55.769","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","IEX_DUNNING_PLANS","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.889","BU","2024/01/29 17:08:55.771","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","MOO_SETID_DEAL_HORIZION","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.891","BU","2024/01/29 17:08:55.773","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","FND_TREE_GROUP","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.894","BU","2024/01/29 17:08:55.775","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","PER_GRADES","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.896","BU","2024/01/29 17:08:55.779","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","HED_ADJ_CAL_SETID","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.899","BU","2024/01/29 17:08:55.781","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","HED_DUE_DATE_CAL_SETID","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.902","BU","2024/01/29 17:08:55.782","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","DOO_HOLD_CODES","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.906","BU","2024/01/29 17:08:55.783","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","JA_CN_TRANSFER_RULE","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.908","BU","2024/01/29 17:08:55.785","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","PER_JOBS","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.911","BU","2024/01/29 17:08:55.786","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","PER_LOCATIONS","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.941","BU","2024/01/29 17:08:55.81","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","MOW_ASSESS_TEMPL_GROUP","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.944","BU","2024/01/29 17:08:55.822","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","MOO_SETID_ASSESS_OVRRIDE_RSN","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.946","BU","2024/01/29 17:08:55.823","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","DOO_ORCHESTRATION_PROCESS","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.949","BU","2024/01/29 17:08:55.824","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","AP_PAYMENT_TERMS","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.951","BU","2024/01/29 17:08:55.826","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","HRA_PERFORMANCE_TEMPLATES","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.954","BU","2024/01/29 17:08:55.828","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","QP_PRICING_RULES","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.956","BU","2024/01/29 17:08:55.83","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","PJF_ACCOUNTING_DEFINITION","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.959","BU","2024/01/29 17:08:55.831","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","PJF_RATES","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.962","BU","2024/01/29 17:08:55.832","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","AR_ACCOUNTING_RULES","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.964","BU","2024/01/29 17:08:55.833","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","AR_AGING_BUCKETS","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.967","BU","2024/01/29 17:08:55.835","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","AR_APP_EXCEPTION_RULES","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.972","BU","2024/01/29 17:08:55.837","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","AR_AUTOCASH_RULES","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.976","BU","2024/01/29 17:08:55.838","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","AR_AUTOMATCH_RULES","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.981","BU","2024/01/29 17:08:55.84","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","AR_COLLECTORS","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.984","BU","2024/01/29 17:08:55.842","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","AR_LOCKBOX","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.988","BU","2024/01/29 17:08:55.843","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
